word,pos,pronunciation,meaning_cn,difficulty,tags,examples
helmet,n,/ˈhelmɪt/,头盔,3,高频|四级,Wear a helmet when riding a bike.
help,v/n,/help/,帮助,1,高频|高考,Can you help me with this?
helpful,adj,/ˈhelpfl/,有帮助的,2,高频|四级,This book is very helpful.
hesitate,v,/ˈhezɪteɪt/,犹豫,4,高频|六级,Don't hesitate to ask questions.
hide,v,/haɪd/,隐藏,2,高频|四级,The cat hid under the bed.
high,adj/adv,/haɪ/,高的,1,高频|高考,The mountain is very high.
highlight,v/n,/ˈhaɪlaɪt/,突出、突出、强调,4,高频|六级,Highlight the important points.
highly,adv,/ˈhaɪli/,高度地,3,高频|四级,She is highly motivated.
hill,n,/hɪl/,小山,2,高频|四级,We climbed the hill together.
hint,n/v,/hɪnt/,暗示,4,高频|六级,She dropped a hint about the surprise.
hire,v,/ˈhaɪər/,雇用,3,高频|四级|商务,We need to hire more staff.
history,n,/ˈhɪstri/,历史,1,高频|高考,I'm interested in history.
hit,v/n,/hɪt/,打击、打击、碰撞,2,高频|四级,The car hit a tree.
hold,v,/hoʊld/,握住、握住、举行,1,高频|高考,Hold my hand.
hole,n,/hoʊl/,洞,2,高频|四级,There's a hole in my sock.
holiday,n,/ˈhɒlədeɪ/,假日,2,高频|四级,We went on holiday to Spain.
honest,adj,/ˈɒnɪst/,诚实的,2,高频|四级,Be honest with me.
honor,n/v,/ˈɒnər/,荣誉、荣誉、尊敬,4,高频|六级,It's an honor to meet you.
hope,n/v,/hoʊp/,希望,1,高频|高考,I hope to see you again.
horizon,n,/həˈraɪzn/,地平线,5,高频|六级,The sun set below the horizon.
horror,n,/ˈhɒrər/,恐怖,4,高频|六级,She couldn't watch the horror film.
horse,n,/hɔːrs/,马,1,高频|高考,She rides a horse every weekend.
hospital,n,/ˈhɒspɪtl/,医院,2,高频|四级,He was taken to the hospital.
host,n/v,/hoʊst/,主人、主人、主持,3,高频|四级,He hosted the TV show.
hostile,adj,/ˈhɒstaɪl/,敌对的,5,高频|六级,She gave him a hostile look.
hot,adj,/hɒt/,热的,1,高频|高考,It's hot today.
hotel,n,/hoʊˈtel/,旅馆,1,高频|高考|旅行,We stayed at a nice hotel.
hour,n,/ˈaʊər/,小时,1,高频|高考,I'll be there in one hour.
house,n,/haʊs/,房子,1,高频|高考,My house is near the park.
household,n,/ˈhaʊshoʊld/,家庭,4,高频|六级,There are three people in the household.
huge,adj,/hjuːdʒ/,巨大的,2,高频|四级,The building is huge.
human,adj/n,/ˈhjuːmən/,人类的、人类的、人,2,高频|四级,Human nature is complex.
humor,n,/ˈhjuːmər/,幽默,3,高频|四级,She has a great sense of humor.
hunt,v/n,/hʌnt/,打猎,4,高频|六级,Lions hunt for food.
hurry,v/n,/ˈhʌri/,匆忙,3,高频|四级,We were in a hurry.
hurt,v,/hɜːrt/,伤害,2,高频|四级,My back hurts.
idea,n,/aɪˈdɪə/,想法,1,高频|高考,That's a good idea.
ideal,adj/n,/aɪˈdiːəl/,理想的、理想的、理想,4,高频|六级,This is an ideal place to live.
identify,v,/aɪˈdentɪfaɪ/,识别、识别、确定,5,高频|六级,Can you identify the suspect?
identity,n,/aɪˈdentəti/,身份,5,高频|六级|雅思,Please show your identity card.
ignore,v,/ɪɡˈnɔːr/,忽视,4,高频|六级,Don't ignore the warning signs.
ill,adj,/ɪl/,生病的,3,高频|四级,She is seriously ill.
illegal,adj,/ɪˈliːɡl/,非法的,4,高频|六级,Drunk driving is illegal.
illness,n,/ˈɪlnəs/,疾病,4,高频|六级,Heart illness is preventable.
illustrate,v,/ˈɪləstreɪt/,说明,5,高频|六级,The chart illustrates the trend.
image,n,/ˈɪmɪdʒ/,图像、图像、形象,3,高频|四级,She posted an image on social media.
imagine,v,/ɪˈmædʒɪn/,想象,2,高频|四级,Imagine a perfect world.
immediate,adj,/ɪˈmiːdiət/,立即的,4,高频|六级,We need an immediate response.
immigrate,v,/ˈɪmɪɡreɪt/,移居,5,高频|六级,Her family immigrated to Canada.
impact,n/v,/ˈɪmpækt/,影响,5,高频|六级|雅思,The book had a big impact on me.
implement,v,/ˈɪmplɪment/,实施,5,高频|六级|雅思,Implement the plan immediately.
imply,v,/ɪmˈplaɪ/,暗示,5,高频|六级,What are you implying?
impose,v,/ɪmˈpoʊz/,施加,5,高频|六级,Don't impose your ideas on others.
impress,v,/ɪmˈpres/,给...深刻印象,4,高频|六级,Her speech impressed everyone.
improve,v,/ɪmˈpruːv/,改善、改善、提高,2,高频|四级,She improved her English quickly.
include,v,/ɪnˈkluːd/,包括,2,高频|四级,The price includes tax.
income,n,/ˈɪnkʌm/,收入,4,高频|六级|商务,His annual income is $50000.
increase,v/n,/ɪnˈkriːs/,增加,3,高频|四级,Production increased by 10%.
indicate,v,/ˈɪndɪkeɪt/,表明,4,高频|六级,The data indicates a trend.
industry,n,/ˈɪndəstri/,工业、工业、产业,3,高频|四级,The film industry is growing.
infant,n,/ˈɪnfənt/,婴儿,5,高频|六级,The infant is sleeping.
infect,v,/ɪnˈfekt/,感染,5,高频|六级,The wound was infected.
infer,v,/ɪnˈfɜːr/,推断,5,高频|六级|雅思,What can you infer from the data?
influence,n/v,/ˈɪnfluəns/,影响,4,高频|六级,Her teachers influenced her career.
inform,v,/ɪnˈfɔːrm/,通知,4,高频|六级,Please inform me of any changes.
information,n,/ˌɪnfərˈmeɪʃn/,信息、信息,2,高频,For more information  visit our website.
inherit,v,/ɪnˈherɪt/,继承,5,高频|六级,She inherited the family business.
initial,adj/n,/ɪˈnɪʃl/,最初的、最初的、首字母,4,高频|六级,The initial plan was changed.
initiate,v,/ɪˈnɪʃieɪt/,发起,5,高频|六级,He initiated the project last year.
injure,v,/ˈɪndʒər/,伤害,4,高频|六级,He was injured in the accident.
innovation,n,/ˌɪnəˈveɪʃn/,创新,5,高频|六级|雅思,Innovation drives progress.
inquire,v,/ɪnˈkwaɪər/,询问,5,高频|六级,I'd like to inquire about the job.
insect,n,/ˈɪnsekt/,昆虫,3,高频|四级,The insect is harmless.
insert,v,/ɪnˈsɜːrt/,插入,4,高频|六级,Insert the key into the lock.
insight,n,/ˈɪnsaɪt/,洞察力,5,高频|六级|雅思,The book gives insight into Chinese culture.
insist,v,/ɪnˈsɪst/,坚持,4,高频|六级,She insisted on paying the bill.
inspect,v,/ɪnˈspekt/,检查,5,高频|六级,The building was inspected for safety.
inspire,v,/ɪnˈspaɪər/,激发,4,高频|六级,Her story inspired millions.
install,v,/ɪnˈstɔːl/,安装,4,高频|六级,We installed a new air conditioner.
instance,n,/ˈɪnstəns/,例子、例子,4,高频,For instance  take this case.
instant,adj/n,/ˈɪnstənt/,立即的、立即的、瞬间,4,高频|六级,The reaction was instant.
instead,adv,/ɪnˈsted/,代替,2,高频|四级,I'll have tea instead of coffee.
instruct,v,/ɪnˈstrʌkt/,指导,5,高频|六级,She instructed us in English.
instrument,n,/ˈɪnstrəmənt/,乐器、乐器、工具,4,高频|六级,She plays three instruments.
insult,v/n,/ɪnˈsʌlt/,侮辱,5,高频|六级,His words were an insult to her.
insurance,n,/ɪnˈʃʊərəns/,保险,4,高频|六级|商务,Health insurance is important.
intellectual,adj,/ˌɪntəˈlektʃuəl/,智力的,5,高频|六级,She is an intellectual person.
intelligence,n,/ɪnˈtelɪdʒəns/,智力、智力、情报,5,高频|六级,Artificial intelligence is advancing.
intend,v,/ɪnˈtend/,打算,4,高频|六级,What do you intend to do?
intense,adj,/ɪnˈtens/,强烈的,5,高频|六级,The heat was intense.
intent,n/adj,/ɪnˈtent/,意图,5,高频|六级,She approached with good intent.
interact,v,/ˌɪntərˈækt/,互动,4,高频|六级,The app allows users to interact.
interest,n/v,/ˈɪntrəst/,兴趣,3,高频|四级,Music is my main interest.
interfere,v,/ˌɪntərˈfɪər/,干涉,5,高频|六级,Don't interfere in my affairs.
interior,n/adj,/ɪnˈtɪəriər/,内部,4,高频|六级,The interior design is modern.
internal,adj,/ɪnˈtɜːrnl/,内部的,5,高频|六级,The company has internal problems.
international,adj,/ˌɪntərˈnæʃnəl/,国际的,4,高频|六级,She works for an international company.
interpret,v,/ɪnˈtɜːrprɪt/,解释、解释、口译,5,高频|六级,He interpreted the speech into English.
interrupt,v,/ˌɪntəˈrʌpt/,打断,4,高频|六级,Don't interrupt me.
interval,n,/ˈɪntərvl/,间隔,5,高频|六级,There was a short interval between acts.
intervene,v,/ˌɪntərˈviːn/,干预,5,高频|六级|雅思,The government intervened to stop the strike.
intimate,adj,/ˈɪntɪmət/,亲密的,5,高频|六级,They are intimate friends.
introduce,v,/ˌɪntrəˈdjuːs/,介绍、介绍、引入,2,高频|四级,Let me introduce my friend.
invade,v,/ɪnˈveɪd/,侵略,5,高频|六级,The army invaded the country.
invent,v,/ɪnˈvent/,发明,3,高频|四级,Who invented the telephone?
invest,v,/ɪnˈvest/,投资,4,高频|六级|商务,He invested in real estate.
investigate,v,/ɪnˈvestɪɡeɪt/,调查,5,高频|六级|雅思,The police investigated the case.
invitation,n,/ˌɪnvɪˈteɪʃn/,邀请,3,高频|四级,Thank you for the invitation.
involve,v,/ɪnˈvɒlv/,涉及,4,高频|六级,The job involves traveling.
iron,n/v,/ˈaɪərn/,铁、铁、熨烫,3,高频|四级,The bridge is made of iron.
irregular,adj,/ɪˈreɡjələr/,不规则的,5,高频|六级,The verb is irregular.
isolate,v,/ˈaɪsəleɪt/,隔离,5,高频|六级,He isolated himself from others.
issue,n/v,/ˈɪʃuː/,问题、问题、发行,4,高频|六级,This is a serious issue.
item,n,/ˈaɪtəm/,项目,3,高频|四级,There are five items on the list.
jail,n,/dʒeɪl/,监狱,5,高频|六级,He was sent to jail.
jam,n,/dʒæm/,果酱、果酱、堵塞,3,高频|四级,Traffic is in a jam.
job,n,/dʒɒb/,工作,1,高频|高考,She got a new job.
join,v,/dʒɔɪn/,加入,2,高频|四级,Would you like to join us?
joint,adj/n,/dʒɔɪnt/,联合的、联合的、关节,5,高频|六级,We have a joint account.
journal,n,/ˈdʒɜːrnl/,杂志、杂志、日志,5,高频|六级,He writes for a scientific journal.
journey,n,/ˈdʒɜːrni/,旅行、旅行、旅程,3,高频|四级,The journey took three hours.
joy,n,/dʒɔɪ/,欢乐,3,高频|四级,The children shouted with joy.
judge,n/v,/dʒʌdʒ/,法官、法官、判断,3,高频|四级,The judge made a fair decision.
judgment,n,/ˈdʒʌdʒmənt/,判断,5,高频|六级,Use your own judgment.
juice,n,/dʒuːs/,果汁,2,高频|四级,Orange juice is healthy.
jump,v,/dʒʌmp/,跳,1,高频|高考,The kids jumped in the pool.
junior,adj/n,/ˈdʒuːniər/,初级的,5,高频|六级,She is a junior manager.
jury,n,/ˈdʒʊəri/,陪审团,5,高频|六级,The jury reached a verdict.
just,adv/adj,/dʒʌst/,只是、只是、公正的,1,高频|高考,I'm just kidding.
justice,n,/ˈdʒʌstɪs/,正义,5,高频|六级|雅思,Justice must be served.
justify,v,/ˈdʒʌstɪfaɪ/,证明合理,5,高频|六级|雅思,Can you justify your decision?
keep,v,/kiːp/,保持,1,高频|高考,Keep the door closed.
key,adj/n,/kiː/,关键的、关键的、钥匙,1,高频|高考,Education is the key to success.
kick,v,/kɪk/,踢,3,高频|四级,He kicked the ball.
kid,n/v,/kɪd/,孩子、孩子、开玩笑,1,高频|高考,I'm just kidding.
kill,v,/kɪl/,杀死,3,高频|四级,Smoking kills.
kind,n/adj,/kaɪnd/,种类、种类、善良的,1,高频|高考,She is very kind.
king,n,/kɪŋ/,国王,2,高频|四级,The king ruled for 30 years.
kiss,v/n,/kɪs/,吻,3,高频|四级,He kissed her goodbye.
kitchen,n,/ˈkɪtʃɪn/,厨房,2,高频|四级,She is cooking in the kitchen.
knee,n,/niː/,膝盖,3,高频|四级,He hurt his knee playing soccer.
knife,n,/naɪf/,刀,3,高频|四级,Be careful with the knife.
knock,v/n,/nɒk/,敲,3,高频|四级,Someone knocked on the door.
know,v,/noʊ/,知道,1,高频|高考,I know the answer.
knowledge,n,/ˈnɒlɪdʒ/,知识,3,高频|四级,Knowledge is power.
label,n/v,/ˈleɪbl/,标签,3,高频|四级,Read the label before eating.
labor,n,/ˈleɪbər/,劳动,4,高频|六级,Manual labor is hard work.
lack,n/v,/læk/,缺乏,3,高频|四级,He lacks confidence.
ladder,n,/ˈlædər/,梯子,3,高频|四级,Climb up the ladder.
lady,n,/ˈleɪdi/,女士,2,高频|四级,The lady smiled at me.
lake,n,/leɪk/,湖,2,高频|四级,We swam in the lake.
land,n/v,/lænd/,土地、土地、着陆,2,高频|四级,The plane landed safely.
landscape,n,/ˈlændskeɪp/,风景,5,高频|六级,The landscape is breathtaking.
language,n,/ˈlæŋɡwɪdʒ/,语言,1,高频|高考,She speaks four languages.
large,adj,/lɑːrdʒ/,大的,1,高频|高考,The room is very large.
last,adj/v,/lɑːst/,最后的、最后的、持续,1,高频|高考,This is my last chance.
late,adj/adv,/leɪt/,迟的、迟的、晚,1,高频|高考,Don't be late for school.
later,adv,/ˈleɪtər/,后来,1,高频|高考,See you later.
laugh,v/n,/lɑːf/,笑,1,高频|高考,The joke made everyone laugh.
launch,v/n,/lɔːntʃ/,发射、发射、启动,4,高频|六级,The company launched a new product.
law,n,/lɔː/,法律,3,高频|四级,Everyone must obey the law.
lawn,n,/lɔːn/,草坪,3,高频|四级,She mowed the lawn.
lay,v,/leɪ/,放置,3,高频|四级,Lay the book on the table.
layer,n,/ˈleɪər/,层,4,高频|六级,There are several layers of meaning.
lazy,adj,/ˈleɪzi/,懒惰的,2,高频|四级,Don't be lazy.
lead,v/n,/liːd/,领导,3,高频|四级,She leads the marketing team.
leader,n,/ˈliːdər/,领导者,3,高频|四级,He is a natural leader.
leaf,n,/liːf/,叶子,2,高频|四级,The leaves fall in autumn.
league,n,/liːɡ/,联盟,4,高频|六级,The football league starts in September.
lean,v/adj,/liːn/,倾斜、倾斜、瘦的,4,高频|六级,Lean the ladder against the wall.
leap,v/n,/liːp/,跳、跳、跳跃,4,高频|六级,She leaped over the puddle.
learn,v,/lɜːrn/,学习,1,高频|高考,I want to learn French.
least,adj,/liːst/,最少的,2,高频|四级,At least try once.
leave,v,/liːv/,离开、离开、留下,1,高频|高考,I'm leaving tomorrow.
lecture,n/v,/ˈlektʃər/,演讲、演讲、讲课,3,高频|四级,He gave a lecture on history.
left,adj/adv,/left/,左边的,1,高频|高考,Turn left at the corner.
legal,adj,/ˈliːɡl/,合法的,4,高频|六级,Is this legal?
legend,n,/ˈledʒənd/,传说,5,高频|六级,The legend has been passed down for centuries.
legislation,n,/ˌledʒɪsˈleɪʃn/,立法,5,高频|六级|雅思,The legislation was passed last month.
legitimate,adj,/lɪˈdʒɪtɪmət/,合法的,5,高频|六级|雅思,He has a legitimate reason.
leisure,n,/ˈliːʒər/,闲暇,5,高频|六级,She enjoys leisure activities.
length,n,/leŋθ/,长度,3,高频|四级,What is the length of the table?
less,adj/adv,/les/,更少的,1,高频|高考,Try to eat less sugar.
lesson,n,/ˈlesn/,课程、课程、教训,1,高频|高考,Today's lesson is about grammar.
let,v,/let/,让,1,高频|高考,Let me help you.
letter,n,/ˈletər/,信、信、字母,1,高频|高考,She wrote him a letter.
level,n/adj,/ˈlevl/,水平、水平、等级,2,高频|四级,Her level of English is high.
liberal,adj,/ˈlɪbərəl/,自由的、自由的、开明的,5,高频|六级,He has liberal political views.
liberate,v,/ˈlɪbəreɪt/,解放,5,高频|六级,The army liberated the city.
liberty,n,/ˈlɪbəti/,自由,5,高频|六级|雅思,They fought for liberty.
library,n,/ˈlaɪbrəri/,图书馆,2,高频|四级,She works at the library.
license,n/v,/ˈlaɪsns/,执照、执照、许可,4,高频|六级,He has a driver's license.
lick,v,/lɪk/,舔,3,高频|四级,The cat licked its paw.
lid,n,/lɪd/,盖子,3,高频|四级,Put the lid on the pot.
lie,v/n,/laɪ/,躺、躺、撒谎,2,高频|四级,He lied about his age.
life,n,/laɪf/,生活、生活、生命,1,高频|高考,Life is beautiful.
lifestyle,n,/ˈlaɪfstaɪl/,生活方式,4,高频|六级,She has a healthy lifestyle.
lifetime,n,/ˈlaɪftaɪm/,一生,4,高频|六级,This is a once-in-a-lifetime opportunity.
lift,v/n,/lɪft/,举起、举起、电梯,3,高频|四级,He lifted the heavy box.
light,n/adj/v,/laɪt/,光、光、轻的、点燃,1,高频|高考,Turn off the light.
lightning,n,/ˈlaɪtnɪŋ/,闪电,4,高频|六级,Lightning struck the tree.
like,v/prep,/laɪk/,喜欢、喜欢、像,1,高频|高考,I like coffee.
limit,n/v,/ˈlɪmɪt/,限制,3,高频|四级,There's no limit to learning.
line,n/v,/laɪn/,线、线、排队,1,高频|高考,Draw a straight line.
link,n/v,/lɪŋk/,链接,3,高频|四级,Click the link to open the website.
liquid,n/adj,/ˈlɪkwɪd/,液体、液体、流动的,4,高频|六级,Water is a liquid.
list,n/v,/lɪst/,清单,2,高频|四级,Make a shopping list.
listen,v,/ˈlɪsn/,听,1,高频|高考,Listen to the teacher.
literature,n,/ˈlɪtərətʃər/,文学,4,高频|六级,She studies English literature.
load,n/v,/loʊd/,负担、负担、装载,4,高频|六级,The truck carried a heavy load.
loan,n/v,/loʊn/,贷款,4,高频|六级|商务,He applied for a bank loan.
local,adj,/ˈloʊkl/,本地的,3,高频|四级,She buys food from local markets.
locate,v,/loʊˈkeɪt/,定位,5,高频|六级,The store is located downtown.
location,n,/loʊˈkeɪʃn/,位置,4,高频|六级,The location is perfect for a restaurant.
lock,n/v,/lɒk/,锁,2,高频|四级,Lock the door before leaving.
logic,n,/ˈlɒdʒɪk/,逻辑,5,高频|六级,Her logic is clear.
lonely,adj,/ˈloʊnli/,孤独的,2,高频|四级,She felt lonely in the new city.
long,adj/adv,/lɒŋ/,长的,1,高频|高考,She has long hair.
look,v/n,/lʊk/,看,1,高频|高考,Look at this picture.
loose,adj,/luːs/,松的,4,高频|六级,The knot is loose.
lose,v,/luːz/,失去,1,高频|高考,Don't lose your keys.
loss,n,/lɒs/,损失,3,高频|四级,The company suffered a huge loss.
lot,n,/lɒt/,许多,1,高频|高考,A lot of people came to the party.
loud,adj,/laʊd/,大声的,2,高频|四级,The music is too loud.
love,n/v,/lʌv/,爱,1,高频|高考,I love you.
lovely,adj,/ˈlʌvli/,可爱的,2,高频|四级,What a lovely day!
lover,n,/ˈlʌvər/,爱好者,4,高频|六级,He is a music lover.
low,adj,/loʊ/,低的,1,高频|高考,The temperature is very low.
luck,n,/lʌk/,运气,2,高频|四级,Good luck with your exam!
luggage,n,/ˈlʌɡɪdʒ/,行李,3,高频|四级|旅行,Don't forget your luggage.
lump,n,/lʌmp/,块、块、肿块,4,高频|六级,She found a lump in her breast.
lunch,n,/lʌntʃ/,午餐,1,高频|高考,We had lunch together.
lung,n,/lʌŋ/,肺,4,高频|六级,Smoking damages your lungs.
luxury,n/adj,/ˈlʌkʃəri/,奢侈,5,高频|六级,She lives a life of luxury.
machine,n,/məˈʃiːn/,机器,3,高频|四级,The machine is broken.
mad,adj,/mæd/,疯狂的、疯狂的、生气的,3,高频|四级,Don't be mad at me.
magazine,n,/ˌmæɡəˈziːn/,杂志,2,高频|四级,She reads fashion magazines.
magic,adj/n,/ˈmædʒɪk/,魔术的、魔术的、魔法,3,高频|四级,The magic show was amazing.
main,adj,/meɪn/,主要的,2,高频|四级,What's the main idea?
maintain,v,/meɪnˈteɪn/,维持,4,高频|六级,Maintain a healthy diet.
major,adj/n,/ˈmeɪdʒər/,主要的、主要的、专业,3,高频|四级,She is a major shareholder.
majority,n,/məˈdʒɒrəti/,多数,4,高频|六级,The majority of students passed.
make,v,/meɪk/,制作,1,高频|高考,Make a wish.
male,adj/n,/meɪl/,男性的,3,高频|四级,The male and female roles are different.
man,n,/mæn/,男人,1,高频|高考,The man is her father.
manage,v,/ˈmænɪdʒ/,管理,3,高频|四级,She manages the hotel.
manner,n,/ˈmænər/,方式、方式、态度,4,高频|六级,He spoke in a polite manner.
manufacture,v/n,/ˌmænjuˈfæktʃər/,制造,5,高频|六级|商务,The factory manufactures cars.
many,adj,/ˈmeni/,许多,1,高频|高考,Many people enjoy traveling.
map,n,/mæp/,地图,2,高频|四级,Draw a map of your neighborhood.
march,v/n,/mɑːrtʃ/,前进,3,高频|四级,The soldiers marched forward.
mark,n/v,/mɑːrk/,标记,2,高频|四级,Mark the calendar for the event.
market,n/v,/ˈmɑːrkɪt/,市场,2,高频|四级|商务,The stock market is volatile.
marriage,n,/ˈmærɪdʒ/,婚姻,3,高频|四级,They have a happy marriage.
marry,v,/ˈmæri/,结婚,3,高频|四级,She married her college sweetheart.
mass,n/adj,/mæs/,大量,3,高频|四级,Mass production lowered the cost.
master,n/v,/ˈmɑːstər/,主人、主人、掌握,4,高频|六级,She mastered three languages.
match,n/v,/mætʃ/,比赛、比赛、匹配,3,高频|四级,The match starts at 7 PM.
mate,n,/meɪt/,同伴,4,高频|六级,He's my best mate.
material,n,/məˈtɪəriəl/,材料,3,高频|四级,Building materials are expensive.
matter,n/v,/ˈmætər/,事情、事情、重要,2,高频|四级,What's the matter?
mature,adj/v,/məˈtʃʊr/,成熟的,5,高频|六级,She is very mature for her age.
maximum,adj/n,/ˈmæksɪməm/,最大,5,高频|六级,The maximum speed is 120 km/h.
mean,v/adj,/miːn/,意思是、意思是、吝啬的,1,高频|高考,What does this word mean?
meaning,n,/ˈmiːnɪŋ/,意义,3,高频|四级,What's the meaning of life?
meanwhile,adv,/ˈmiːnwaɪl/,同时、同时,3,高频,Meanwhile  the storm continued.
measure,v/n,/ˈmeʒər/,测量、测量、措施,3,高频|四级,Measure the length carefully.
meat,n,/miːt/,肉,1,高频|高考,I don't eat meat.
media,n,/ˈmiːdiə/,媒体,4,高频|六级,The media reported the news.
medical,adj,/ˈmedɪkl/,医学的,4,高频|六级,She needed medical treatment.
medicine,n,/ˈmedsn/,药、药、医学,3,高频|四级,Take your medicine after meals.
medium,adj/n,/ˈmiːdiəm/,中等的、中等的、媒介,5,高频|六级,She likes medium rare steak.
meet,v,/miːt/,见面,1,高频|高考,Nice to meet you.
melt,v,/melt/,融化,3,高频|四级,The snow melted quickly.
member,n,/ˈmembər/,成员,1,高频|高考,She is a member of the club.
memory,n,/ˈmeməri/,记忆,3,高频|四级,She has a good memory.
mental,adj,/ˈmentl/,精神的,4,高频|六级,Mental health is important.
mention,v,/ˈmenʃn/,提及,3,高频|四级,She mentioned your name.
menu,n,/ˈmenjuː/,菜单、菜单,3,高频,May I see the menu  please?
mercy,n,/ˈmɜːrsi/,仁慈,5,高频|六级,He begged for mercy.
mere,adj,/mɪər/,仅仅的,5,高频|六级,It was a mere coincidence.
merit,n/v,/ˈmerɪt/,优点,5,高频|六级,Each plan has its merits.
mess,n,/mes/,混乱,3,高频|四级,The room is a mess.
message,n,/ˈmesɪdʒ/,消息,1,高频|高考,Send me a message.
metal,n,/ˈmetl/,金属,3,高频|四级,Gold is a precious metal.
method,n,/ˈmeθəd/,方法,3,高频|四级,This is an effective method.
middle,adj/n,/ˈmɪdl/,中间的,2,高频|四级,She sat in the middle row.
might,v/aux,/maɪt/,可能,3,高频|四级,It might rain tomorrow.
mild,adj,/maɪld/,温和的,4,高频|六级,The weather is mild today.
military,adj/n,/ˈmɪləteri/,军事的、军事的、军队,5,高频|六级,Military service is mandatory.
milk,n/v,/mɪlk/,牛奶,1,高频|高考,Drink a glass of milk.
mind,n/v,/maɪnd/,头脑、头脑、介意,2,高频|四级,Keep your mind open.
mine,n/pron,/maɪn/,我的、我的、矿,2,高频|四级,This book is mine.
mineral,n/adj,/ˈmɪnərəl/,矿物,5,高频|六级,The water is rich in minerals.
minister,n,/ˈmɪnɪstər/,部长,5,高频|六级,The foreign minister visited China.
minor,adj,/ˈmaɪnər/,较小的,4,高频|六级,It's a minor issue.
minority,n,/maɪˈnɒrəti/,少数,5,高频|六级,The minority has its rights.
minute,n,/ˈmɪnɪt/,分钟,1,高频|高考,Wait a minute.
mirror,n/v,/ˈmɪrər/,镜子,3,高频|四级,She looked at herself in the mirror.
miserable,adj,/ˈmɪzrəbl/,痛苦的,5,高频|六级,He felt miserable after the breakup.
miss,v,/mɪs/,想念、想念、错过,1,高频|高考,I miss my family.
missile,n,/ˈmɪsaɪl/,导弹,5,高频|六级,The missile was intercepted.
mission,n,/ˈmɪʃn/,任务,4,高频|六级,The mission was accomplished.
mistake,n,/mɪˈsteɪk/,错误,2,高频|四级,Everyone makes mistakes.
mix,v/n,/mɪks/,混合,3,高频|四级,Mix the ingredients well.
mobile,adj,/ˈmoʊbl/,移动的,4,高频|六级,Mobile phones are everywhere.
mode,n,/moʊd/,模式,5,高频|六级,Switch the camera to portrait mode.
model,n/v,/ˈmɒdl/,模型,3,高频|四级,She is a fashion model.
moderate,adj/v,/ˈmɒdərət/,适度的,5,高频|六级,Moderate exercise is good for health.
modern,adj,/ˈmɒdn/,现代的,2,高频|四级,Modern art can be confusing.
modest,adj,/ˈmɒdɪst/,谦虚的,4,高频|六级,She is modest about her achievements.
modify,v,/ˈmɒdɪfaɪ/,修改,5,高频|六级,Please modify the document.
moment,n,/ˈmoʊmənt/,时刻,1,高频|高考,Wait a moment.
monitor,v/n,/ˈmɒnɪtər/,监测,3,高频|四级,Monitor the progress closely.
month,n,/mʌnθ/,月,1,高频|高考,I'll see you next month.
mood,n,/muːd/,心情,3,高频|四级,She's in a good mood.
moral,adj/n,/ˈmɒrəl/,道德的、道德的、道德,4,高频|六级,He has strong moral principles.
morale,n,/məˈrɑːl/,士气,5,高频|六级,The team's morale is high.
more,adj/adv,/mɔːr/,更多的,1,高频|高考,I want more time.
morning,n,/ˈmɔːrnɪŋ/,早晨,1,高频|高考,Good morning!
mortal,adj,/ˈmɔːrtl/,致命的,5,高频|六级,Mortal danger is rare in modern life.
mortgage,n/v,/ˈmɔːrɡɪdʒ/,抵押贷款,5,高频|六级|商务,They paid off their mortgage.
most,adj/adv,/moʊst/,最多的,1,高频|高考,Most people like music.
mother,n,/ˈmʌðər/,母亲,1,高频|高考,My mother is a teacher.
motion,n,/ˈmoʊʃn/,运动、运动、动作,4,高频|六级,The motion was carried.
motivate,v,/ˈmoʊtɪveɪt/,激励,5,高频|六级,Her success motivated me.
motor,n,/ˈmoʊtər/,发动机,3,高频|四级,The motor needs repair.
mount,v,/maʊnt/,登上,4,高频|六级,He mounted the horse.
mountain,n,/ˈmaʊntn/,山,2,高频|四级,The mountain is covered in snow.
mouse,n,/maʊs/,老鼠、老鼠、鼠标,1,高频|高考,The mouse ran across the floor.
move,v/n,/muːv/,移动、移动、搬家,1,高频|高考,Let's move the table.
movement,n,/ˈmuːvmənt/,运动,3,高频|四级,The civil rights movement changed history.
movie,n,/ˈmuːvi/,电影,1,高频|高考,We watched a movie last night.
much,adj/adv,/mʌtʃ/,许多,1,高频|高考,How much does it cost?
mud,n,/mʌd/,泥,3,高频|四级,The car got stuck in the mud.
multiple,adj,/ˈmʌltɪpl/,多个的,4,高频|六级,She has multiple talents.
murder,n/v,/ˈmɜːrdər/,谋杀,5,高频|六级,He was convicted of murder.
muscle,n,/ˈmʌsl/,肌肉,3,高频|四级,Exercise builds muscle.
museum,n,/mjuːˈziːəm/,博物馆,2,高频|四级,We visited the art museum.
music,n,/ˈmjuːzɪk/,音乐,1,高频|高考,She loves classical music.
musician,n,/mjuˈzɪʃn/,音乐家,3,高频|四级,He is a talented musician.
Muslim,n/adj,/ˈmʌzlɪm/,穆斯林,5,高频|六级,Muslim culture is diverse.
must,v/aux,/mʌst/,必须,2,高频|四级,You must study harder.
mutual,adj,/ˈmjuːtʃuəl/,相互的,5,高频|六级,We have mutual respect.
myself,pron,/maɪˈself/,我自己,1,高频|高考,I can do it myself.
mystery,n,/ˈmɪstri/,神秘,4,高频|六级,It remains a mystery.
